pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
Kepler-653 b,0.174,0.01400,14.70748976,5665.00
Kepler-67 b,0.262,0.02820,15.72590000,5331.00
Kepler-728 b,0.298,0.03500,5.74347727,5660.00
Kepler-201 b,0.219,0.02080,25.67208300,6065.00
Kepler-1534 b,0.169,0.01330,5.71668872,5442.00
Kepler-1540 b,0.222,0.02130,125.41311770,4540.00
Kepler-1542 b,0.068,0.00114,3.95116882,5564.00
Kepler-1542 e,0.068,0.00114,5.10115756,5564.00
Kepler-1543 b,0.242,0.02450,6.96710269,6561.00
Kepler-1553 b,0.103,0.00505,4.24261881,5288.00
Kepler-1585 b,0.160,0.01210,3.58274630,5538.00
Kepler-1586 b,0.136,0.00920,15.60492120,6681.00
Kepler-732 b,0.194,0.01700,9.46781405,3631.00
Kepler-203 b,0.229,0.02240,3.16269700,5821.00
Kepler-207 c,0.134,0.00899,3.07157100,5920.00
Kepler-1570 b,0.095,0.00390,26.54895500,5550.00
Kepler-1575 b,0.117,0.00714,2.55314213,5667.00
Kepler-1522 b,0.154,0.01150,1.84788917,5706.00
Kepler-1525 b,0.081,0.00218,2.41660118,5748.00
Kepler-1546 b,0.279,0.03130,19.59749710,5623.00
Kepler-1547 b,0.080,0.00210,0.69297968,6078.00
Kepler-1555 b,0.144,0.01010,8.10501635,5866.00
Kepler-221 c,0.261,0.04800,5.69058600,5243.00
Kepler-605 b,0.128,0.00839,3.38353807,5462.00
Kepler-160 c,0.335,0.04280,13.69942900,5471.00
Kepler-1601 b,0.073,0.00150,2.20921951,5869.00
Kepler-1603 b,0.115,0.00696,2.27163926,6241.00
Kepler-249 d,0.140,0.00972,15.36845900,3568.00
Kepler-18 b,0.178,0.02200,3.50472500,5345.00
Kepler-1443 b,0.087,0.00274,2.41811321,6289.00
Kepler-1447 b,0.259,0.02750,56.67472850,5722.00
Kepler-127 c,0.237,0.02380,29.39319500,6106.00
Kepler-1606 b,0.185,0.01550,196.43522400,5422.00
Kepler-1429 b,0.115,0.00696,4.48487493,5902.00
Kepler-606 b,0.295,0.03450,24.31575992,6161.00
Kepler-1593 b,0.283,0.03200,174.50983500,4995.00
Kepler-733 b,0.252,0.02630,20.83424726,5418.00
Kepler-1641 b,0.277,0.03100,19.67226600,6152.00
Kepler-57 c,0.138,0.02863,11.60925670,5145.00
Kepler-212 b,0.097,0.00416,16.25758200,5852.00
Kepler-221 e,0.235,0.02330,18.36991700,5243.00
Kepler-1641 c,0.263,0.02830,32.65721200,6152.00
Kepler-189 c,0.212,0.07100,20.13486600,5235.00
Kepler-160 b,0.153,0.01130,4.30939700,5471.00
Kepler-26 b,0.248,0.01611,12.28000000,3914.00
Kepler-68 b,0.210,0.02527,5.39875259,5847.00
Kepler-572 b,0.230,0.02260,17.20523483,5212.00
Kepler-223 d,0.467,0.02517,14.78869000,5803.00
Kepler-646 b,0.178,0.01450,15.87364565,5634.00
Kepler-208 b,0.145,0.01040,4.22864000,6092.00
Kepler-161 b,0.189,0.03800,4.92135500,5078.00
Kepler-1587 b,0.119,0.00733,9.40604670,5933.00
Kepler-1588 b,0.068,0.00114,7.84931739,5817.00
Kepler-1589 b,0.097,0.00416,0.99166527,6166.00
Kepler-1613 b,0.186,0.01570,1.51842990,6005.00
Kepler-767 b,0.592,0.11200,161.52801010,5694.00
Kepler-229 b,0.196,0.01720,6.25297200,5120.00
Kepler-573 b,0.249,0.02580,22.18329658,5746.00
Kepler-208 d,0.107,0.00588,11.13178600,6092.00
Kepler-161 c,0.183,0.03700,7.06424000,5078.00
Kepler-216 b,0.210,0.01930,7.69364100,6091.00
Kepler-1611 b,0.072,0.00144,5.17624290,5605.00
Kepler-1618 b,0.112,0.00669,6.10826019,6620.00
Kepler-1614 b,0.133,0.00889,3.94661410,5121.00
Kepler-1612 b,0.092,0.00340,3.91795101,5643.00
Kepler-1631 b,0.120,0.00752,4.09513932,5679.00
Kepler-1615 b,0.184,0.01540,47.31261920,5865.00
Kepler-220 b,0.072,0.00144,4.15980700,4632.00
Kepler-1632 b,0.220,0.02100,448.30355800,6137.00
Kepler-1639 b,0.230,0.02260,9.87848200,6150.00
Kepler-208 e,0.132,0.00879,16.25945800,6092.00
Kepler-209 c,0.277,0.03080,41.74988200,5513.00
Kepler-1517 b,0.871,0.21600,5.54608367,7010.00
Kepler-221 b,0.153,0.01120,2.79590600,5243.00
Kepler-656 c,0.136,0.00809,5.25449393,5550.00
Kepler-184 d,0.222,0.02130,29.02235800,5788.00
CoRoT-7 c,0.253,0.02643,3.69800000,5256.00
Kepler-1711 b,0.172,0.01370,21.06080055,5706.00
Kepler-1630 b,0.195,0.01710,509.99740200,4736.00
Kepler-769 b,0.261,0.02790,7.42608998,6186.00
Kepler-241 c,0.229,0.02240,36.06597800,4699.00
Kepler-1649 b,0.091,0.00325,8.68909900,3240.00
Kepler-1653 b,0.194,0.01680,140.25240000,4807.00
TOI-2236 b,1.282,1.58000,3.53159020,6248.00
TOI-3023 b,1.466,0.62000,3.90149710,5760.00
TOI-2207 b,0.995,0.64000,8.00196800,6101.00
TOI-2076 b,0.225,0.02170,10.35509000,5187.00
WASP-167 b,1.580,8.00000,2.02195960,7000.00
HD 21749 c,0.080,0.01164,7.78993000,4640.00
TOI-3629 b,0.740,0.26000,3.93655100,3870.00
TOI-733 b,0.178,0.01800,4.88476500,5585.00
GJ 143 b,0.233,0.07142,35.61253000,4640.00
Kepler-191 d,0.203,0.01830,5.94504102,5215.00
Kepler-650 b,0.264,0.02850,3.03214559,5849.00
Kepler-1731 b,0.262,0.02810,21.76129913,4859.00
HATS-4 b,1.020,1.32300,2.51672900,5403.00
WASP-140 b,1.440,2.44000,2.23598350,5260.00
HATS-13 b,1.212,0.54300,3.04404990,5523.00
HD 23472 e,0.073,0.00227,7.90754000,4684.00
Kepler-195 c,0.138,0.00951,34.09686300,5329.00
Kepler-758 e,0.136,0.00930,8.19347190,6228.00
Kepler-60 d,0.178,0.01309,11.89810000,5905.00
Kepler-242 c,0.178,0.01470,14.49648100,5020.00
Kepler-1742 b,0.194,0.01690,49.47819901,5776.00
KOI-984 c,1.250,0.66010,21.51200000,5295.00
Kepler-1322 b,0.144,0.01010,0.96286738,5488.00
OGLE-2019-BLG-0362L b,1.170,3.26000,,
Kepler-1793 b,0.338,0.04340,8.77999973,5191.00
Kepler-1880 b,0.189,0.01610,6.30921984,4380.00
HD 216520 c,0.271,0.02970,154.43000000,5103.00
Kepler-1825 b,0.127,0.00821,1.02586997,5123.00
Kepler-1798 b,0.206,0.01870,16.85589981,3967.00
Kepler-1951 b,0.207,0.01890,20.65780067,5468.00
Kepler-172 c,0.255,0.02690,6.38899600,5526.00
Kepler-126 b,0.136,0.00920,10.49571100,6239.00
Kepler-704 b,0.233,0.02300,3.76182115,5616.00
Kepler-706 b,1.175,,41.40831347,5394.00
Kepler-707 b,0.119,0.00733,2.23749275,5099.00
Kepler-724 b,0.294,0.03410,3.31494634,5437.00
Kepler-1678 b,0.295,0.03440,147.97400000,5754.00
Kepler-567 b,0.201,0.01790,16.54297375,5148.00
Kepler-327 c,0.092,0.06400,5.21233300,3799.00
Kepler-322 b,0.090,0.00317,1.65388800,5388.00
Kepler-313 b,0.226,0.02180,14.97041800,5727.00
TOI-3714 b,1.010,0.70000,2.15484900,3660.00
Kepler-301 d,0.156,0.01170,13.75124300,5815.00
Kepler-296 f,0.161,0.01230,63.33627000,3740.00
Kepler-11 f,0.222,0.00600,46.68880000,5663.00
Kepler-301 b,0.120,0.00752,2.50855300,5815.00
Kepler-275 b,0.209,0.01910,10.30068200,6165.00
Kepler-285 b,0.120,0.00742,2.63386700,5411.00
Kepler-287 b,0.208,0.01900,20.34219900,5806.00
Kepler-288 b,0.149,0.01080,6.09732600,5918.00
Kepler-150 e,0.278,0.03120,30.82655700,5560.00
K2-212 b,0.236,0.02360,9.79564700,4349.00
Kepler-323 c,0.140,0.02140,3.55382290,6004.00
Kepler-5 b,1.426,2.11100,3.54846570,6297.00
Kepler-205 b,0.135,0.00909,2.75564000,4321.00
HAT-P-8 b,1.400,1.28000,3.07634000,6200.00
K2-263 b,0.215,0.04688,50.81894700,5368.00
HIP 41378 c,0.228,0.02230,31.70648000,6226.00
HIP 41378 e,0.492,0.08190,131.00000000,6226.00
TOI-3819 b,1.172,1.11000,3.24431410,5859.00
TOI-836 b,0.152,0.01425,3.81673000,4552.00
TOI-3976 A b,1.095,0.17500,6.60766200,5975.00
HD 191939 e,1.160,0.35302,101.12000000,5427.00
GJ 3473 b,0.113,0.00585,1.19800350,3347.00
Kepler-1720 b,0.287,0.03280,12.70639992,5573.00
Kepler-276 d,0.250,0.05100,48.64800000,5779.00
Kepler-244 d,0.206,0.04800,20.05040100,5554.00
Kepler-245 b,0.229,0.02240,7.49019000,5100.00
Kepler-212 c,0.244,0.02500,31.80517400,5852.00
Kepler-214 c,0.190,0.01630,28.77980000,6169.00
Kepler-215 b,0.145,0.01020,9.36067200,5739.00
Kepler-217 c,0.165,0.01280,8.58600400,6171.00
Kepler-229 d,0.343,0.04450,41.19491200,5120.00
Kepler-23 d,0.196,0.05500,15.27429900,5828.00
Kepler-11 d,0.278,0.02300,22.68450000,5663.00
Kepler-1456 b,0.102,0.00489,18.13738290,4231.00
Kepler-31 b,0.491,0.08160,20.86130000,6340.00
Kepler-102 d,0.103,0.00944,10.31176700,4909.00
Kepler-62 d,0.174,0.04400,18.16406000,4925.00
Kepler-326 d,0.108,0.02200,6.76688800,5105.00
Kepler-238 c,0.213,0.01980,6.15555700,5751.00
Kepler-245 c,0.194,0.71000,17.46081200,5100.00
Kepler-206 c,0.158,0.01190,13.13747100,5764.00
Kepler-208 c,0.124,0.00790,7.46662300,6092.00
Kepler-216 c,0.271,0.02980,17.40666900,6091.00
Kepler-224 c,0.278,0.03120,5.92500300,5018.00
Kepler-224 d,0.205,0.01860,11.34939300,5018.00
Kepler-243 c,0.178,0.01450,20.02621800,5228.00
Kepler-232 b,0.275,0.03050,4.43122200,5847.00
Kepler-245 d,0.270,0.06800,36.27710800,5100.00
Kepler-230 c,0.182,0.01520,91.77324200,5588.00
Kepler-24 b,0.214,1.60000,8.14530000,5800.00
Kepler-127 b,0.125,0.00800,14.43588900,6106.00
Kepler-24 d,0.149,0.01080,4.24438400,5897.00
Kepler-246 b,0.209,0.01910,4.60182000,5206.00
Kepler-246 c,0.134,0.00899,11.18716100,5206.00
Kepler-256 d,0.221,0.02110,5.83917200,5551.00
HAT-P-11 b,0.389,0.08400,4.88780244,4780.00
Kepler-262 c,0.146,0.01050,21.85372200,5841.00
Kepler-1472 b,0.170,0.01340,38.13128310,6159.00
Kepler-228 c,0.241,0.02440,4.13444400,6043.00
Kepler-230 b,0.380,0.05290,32.62555500,5588.00
Kepler-254 c,0.192,0.01000,12.41218300,5957.00
Kepler-255 b,0.138,0.00951,5.71460600,5573.00
Kepler-256 b,0.142,0.00993,1.62049300,5551.00
Kepler-257 b,0.233,0.02300,2.38266700,5180.00
Kepler-257 d,0.442,0.06830,24.66455100,5180.00
Kepler-258 b,0.362,0.04880,13.19722000,4942.00
Kepler-259 c,0.241,0.02440,36.92493100,5938.00
Kepler-62 c,0.048,0.01300,12.44170000,4925.00
Kepler-254 b,0.345,0.04490,5.82666200,5957.00
Kepler-265 b,0.166,0.01300,6.84626200,5835.00
Kepler-267 c,0.190,0.01630,6.87745000,4258.00
Kepler-1477 b,0.105,0.00553,11.55530021,5100.00
Kepler-306 e,0.203,0.01820,44.84097500,4954.00
Kepler-1473 b,0.106,0.00570,14.42735510,6046.00
Kepler-231 c,0.172,0.07600,19.27156600,3767.00
Kepler-265 e,0.231,0.02270,67.83102400,5835.00
Kepler-292 b,0.118,0.00724,2.58082700,5299.00
Kepler-271 c,0.085,0.00254,7.41086267,5555.00
Kepler-271 d,0.059,0.00069,5.24972541,5555.00
Kepler-286 c,0.122,0.00771,3.46809500,5580.00
Kepler-286 e,0.158,0.01190,29.22128900,5580.00
Kepler-271 b,0.110,0.00642,10.43547805,5555.00
Kepler-272 b,0.128,0.24500,2.97135300,5297.00
Kepler-278 b,0.363,0.04900,30.16054600,4991.00
Kepler-292 c,0.131,0.00869,3.71533500,5299.00
Kepler-282 b,0.090,0.00317,9.22052400,5602.00
Kepler-293 b,0.274,0.03030,19.25419600,5804.00
Kepler-275 d,0.297,0.03480,35.67606200,6165.00
Kepler-280 c,0.179,0.01480,4.80709100,5744.00
Kepler-282 c,0.107,0.00588,13.63872300,5602.00
Kepler-282 d,0.219,0.19200,24.80600000,5699.00
Kepler-283 b,0.190,0.01630,11.00815100,4351.00
Kepler-295 d,0.121,0.00761,33.88405400,5603.00
Kepler-289 c,1.034,0.42000,125.85180000,5990.00
Kepler-1417 b,0.089,0.00306,20.35052130,5839.00
Kepler-1474 b,0.193,0.01670,36.43334520,5870.00
Kepler-293 c,0.342,0.04420,54.15574300,5804.00
Kepler-302 b,0.362,0.04880,30.18410400,5740.00
Kepler-294 b,0.158,0.01190,3.70121200,5913.00
Kepler-295 c,0.104,0.00537,21.52625800,5603.00
Kepler-58 b,0.248,0.11170,10.21849540,5843.00
Kepler-291 b,0.193,0.01670,3.54651100,6002.00
Kepler-298 b,0.175,0.01420,10.47546400,4465.00
HAT-P-66 b,1.590,0.78300,2.97208600,6002.00
TOI-1136 c,0.257,0.02720,6.25725000,5770.00
ROXs 12 b,1.090,16.00000,,3850.00
Kepler-453 b,0.553,0.05034,240.50300000,5527.00
Kepler-481 b,0.223,0.02140,10.06082567,5802.00
Kepler-484 b,0.203,0.01830,10.04556931,5668.00
Kepler-392 c,0.098,0.00430,10.42311800,5938.00
GJ 273 c,0.094,0.00371,4.72340000,3382.00
Kepler-479 b,0.189,0.01620,12.49341307,5247.00
Kepler-498 b,0.270,0.02970,9.61375356,5744.00
Kepler-461 b,0.230,0.02260,8.31378306,5634.00
Kepler-489 b,0.689,0.14500,17.27629612,5014.00
K2-260 b,1.552,1.42000,2.62666570,6367.00
Kepler-334 d,0.126,0.00809,25.09849000,5828.00
Kepler-335 c,0.274,0.03030,67.84446900,5877.00
Kepler-336 d,0.211,0.01950,20.67877200,5867.00
Kepler-337 c,0.183,0.01530,9.69320100,5684.00
Kepler-339 d,0.104,0.04600,10.55834500,5631.00
Kepler-342 b,0.201,0.01790,15.17031800,6175.00
Kepler-343 c,0.180,0.01490,23.22182000,5807.00
Kepler-344 c,0.263,0.02830,125.59680900,5774.00
Kepler-35 b,0.728,0.12700,131.45800000,5606.00
Kepler-357 d,0.306,0.03660,49.49987500,5036.00
Kepler-472 b,0.287,0.03290,4.17625551,4996.00
Kepler-499 b,0.194,0.01680,5.63252845,5312.00
Kepler-348 b,0.136,0.00920,7.05677000,6177.00
Kepler-349 c,0.175,0.01420,12.24762900,5956.00
Kepler-332 d,0.105,0.00553,34.21154000,4955.00
Kepler-377 c,0.184,0.01540,27.01497600,5949.00
Kepler-350 d,0.250,0.04700,26.13600000,6492.30
Kepler-1590 b,0.102,0.00489,7.61760804,6053.00
Kepler-355 b,0.130,0.00859,11.03189000,6184.00
Kepler-355 c,0.242,0.02450,25.76229400,6184.00
Kepler-350 b,0.165,0.01280,11.18956200,6186.00
Kepler-341 d,0.165,0.01280,27.66631300,6012.00
Kepler-345 c,0.107,0.00692,9.38742700,4504.00
Kepler-1492 b,0.133,0.00889,16.75255007,4712.00
Kepler-65 c,0.230,0.01700,5.85994400,6211.00
Kepler-65 d,0.136,0.01300,8.13123000,6211.00
Kepler-373 b,0.121,0.00761,5.53530900,5787.00
Kepler-373 c,0.111,0.00651,16.72594800,5787.00
Kepler-1508 b,0.119,0.00733,20.70565040,6158.00
Kepler-371 b,0.169,0.01330,34.76327800,5666.00
Kepler-383 b,0.118,0.00724,12.90453200,4710.00
Kepler-383 c,0.111,0.00651,31.20075100,4710.00
Kepler-365 b,0.182,0.01520,10.66490300,6012.00
Kepler-404 b,0.113,0.00678,11.82985100,5654.00
Kepler-387 b,0.092,0.00340,6.79163600,5774.00
Kepler-387 c,0.079,0.00201,11.83754900,5774.00
Kepler-388 b,0.072,0.00144,3.17331500,4498.00
Kepler-388 c,0.077,0.00178,13.29700400,4498.00
Kepler-354 d,0.111,0.00651,24.20984200,4648.00
K2-38 b,0.148,0.02423,4.01593000,5705.00
HATS-41 b,1.330,9.70000,4.19364900,6424.00
WASP-97 b,1.140,1.36000,2.07276000,5640.00
CoRoT-20 c,1.090,17.00000,1675.00000000,4947.50
K2-117 b,0.181,0.01500,1.29160000,3778.00
Kepler-431 c,0.060,0.00072,8.70300000,6004.00
Kepler-414 b,0.153,0.01100,4.70000000,5536.00
WASP-37 b,1.160,1.80000,3.57746900,5800.00
Kepler-1868 b,0.281,0.03170,211.03399660,4658.00
Kepler-522 b,0.616,0.12000,38.58422849,6392.00
Kepler-488 b,1.409,124.00000,3.12082923,5970.00
Kepler-411 e,0.293,0.03398,31.50972800,4832.69
Kepler-44 b,1.090,1.00000,3.24672930,5800.00
Kepler-421 b,0.371,0.05080,704.19840000,5308.00
Kepler-369 c,0.126,0.00809,14.87157200,3591.00
WASP-54 b,1.580,0.59000,3.69364000,6100.00
WASP-187 b,1.640,0.80000,5.14787800,6150.00
Kepler-445 c,0.220,0.02150,4.87122900,3157.00
Kepler-358 c,0.254,0.02670,83.48836900,5908.00
Kepler-47 c,0.415,0.00997,303.22700000,5636.00
Kepler-717 b,0.216,0.02030,4.40840023,5485.00
Kepler-721 b,0.236,0.02350,5.39202539,5075.00
Kepler-449 c,0.247,0.02540,33.67270000,5649.18
TOI-198 b,0.128,0.00839,10.21520000,3650.00
WASP-180 A b,1.240,0.90000,3.40926400,6600.00
WASP-189 b,1.619,1.99000,2.72403300,8000.00
GJ 357 c,0.148,0.01070,9.12470000,3505.00
HD 73583 b,0.222,0.03209,6.39805000,4511.00
Kepler-63 b,0.545,0.37800,9.43415050,5576.00
K2-295 b,0.897,0.33500,4.02486700,4444.00
WASP-81 b,1.429,0.72900,2.71647620,5870.00
HD 95086 b,1.150,5.00000,,7883.00
rho CrB c,0.515,0.08873,102.19000000,5817.00
K2-266 b,0.294,0.03545,0.65852400,4285.00
HAT-P-24 b,1.300,0.75000,3.35524000,6373.00
K2-100 b,0.346,0.06859,1.67390350,5945.00
Kepler-714 b,0.863,0.21300,8.09888799,5995.00
Kepler-69 b,0.200,0.01780,13.72234100,5638.00
Kepler-813 b,0.191,0.01640,19.12947337,5743.00
Kepler-702 b,0.818,0.19400,10.52629406,5419.00
Kepler-711 b,0.304,0.03630,23.58914398,5222.00
Kepler-673 b,0.583,0.11000,3.72873109,5355.00
Kepler-674 b,0.151,0.01100,2.24338185,4192.00
Kepler-694 b,0.250,0.02590,6.36584161,5700.00
Kepler-675 b,0.218,0.02050,2.33743801,4945.00
Kepler-715 b,0.335,0.04260,10.00652995,5871.00
Kepler-693 b,0.908,0.23200,15.37563332,4881.00
K2-113 b,1.083,1.29000,5.81768500,5660.00
Kepler-530 b,0.269,0.02930,39.30941904,5697.00
Kepler-54 b,0.187,0.06800,8.01094340,3705.00
Kepler-540 b,0.242,0.02450,172.70497840,5946.00
WASP-25 b,1.070,0.44000,3.76483000,5750.00
HATS-35 b,1.464,1.22200,1.82099930,6300.00
Kepler-55 c,0.197,0.22000,42.15164180,4362.00
Kepler-523 b,0.175,0.01420,5.83598311,5515.00
Kepler-525 b,0.235,0.02330,18.68404933,5573.00
Kepler-788 b,0.227,0.02210,8.39846269,6159.00
Kepler-743 b,0.108,0.00606,3.17926292,5486.00
Kepler-844 b,0.150,0.01090,2.61302086,4128.00
Kepler-845 b,0.182,0.01520,0.92785982,4913.00
Kepler-848 b,0.152,0.01110,6.91134416,5695.00
Kepler-827 b,0.502,0.08490,51.92927591,5602.00
Kepler-828 b,0.135,0.00909,0.56785714,5039.00
Kepler-48 d,0.182,0.02500,42.89610000,5194.00
Kepler-483 b,0.286,0.03270,30.22910400,6346.00
Kepler-107 b,0.137,0.01196,3.18002180,5854.00
TOI-3984 A b,0.710,0.14000,4.35332600,3476.00
NGTS-23 b,1.267,0.61300,4.07643260,6057.00
HD 20329 b,0.153,0.02335,0.92611800,5596.00
Kepler-516 b,0.512,0.08780,24.85462415,7099.00
Kepler-524 b,0.170,0.01360,7.97419807,6014.00
Kepler-524 c,0.086,0.00264,1.88897906,6014.00
Kepler-737 b,0.175,0.01420,28.59915399,3813.00
Kepler-738 b,0.223,0.02140,24.58721573,5327.00
Kepler-741 b,0.265,0.02870,7.03902374,6129.00
Kepler-764 b,0.146,0.01050,7.33683936,5557.00
Kepler-789 b,0.189,0.01620,8.63847725,5870.00
Kepler-745 b,0.193,0.01670,9.93143556,5849.00
Kepler-758 d,0.189,0.01620,20.49661970,6228.00
Kepler-770 d,0.125,0.00800,4.15244722,5598.00
Kepler-82 f,0.432,0.06576,75.73200000,5529.00
Kepler-746 b,0.099,0.00444,3.48159251,5418.00
Kepler-796 b,0.116,0.00705,6.40087618,5475.00
Kepler-765 b,0.217,0.02040,27.66552260,5901.00
Kepler-542 b,0.140,0.00972,13.14497566,5526.00
Kepler-1996 b,0.205,0.01800,32.37618300,4580.00
Kepler-81 c,0.211,0.01400,12.04000000,4385.00
Kepler-810 b,0.172,0.01380,4.59725385,5803.00
Kepler-80 b,0.238,0.02180,7.05246000,4540.00
Kepler-758 b,0.221,0.02110,12.10971040,6228.00
Kepler-80 f,0.108,0.00606,0.98678730,4540.00
Kepler-553 c,0.999,,328.23995460,5266.00
Kepler-766 b,0.302,0.03590,6.10027804,5992.00
Kepler-770 c,0.107,0.00588,1.47532231,5598.00
Kepler-778 b,0.150,0.01090,3.75574426,5102.00
TOI-2977 b,1.174,1.68000,2.35056140,5691.00
Kepler-1987 d,0.291,0.02380,5.64491415,4769.00
Kepler-1987 e,0.219,0.01370,8.74292005,4769.00
Kepler-549 b,0.229,0.03461,42.94956490,5360.00
Kepler-801 b,0.178,0.01470,11.41928253,4435.00
Kepler-744 b,0.145,0.01020,12.06222443,5594.00
Kepler-283 c,0.162,0.01250,92.74371100,4351.00
Kepler-830 b,0.152,0.01110,11.29695137,6037.00
Kepler-797 b,0.194,0.01680,27.07237711,5680.00
Kepler-758 c,0.151,0.01100,4.75793986,6228.00
Kepler-798 b,0.213,0.01980,13.71933369,6224.00
Kepler-1901 b,0.132,0.00873,3.48412991,5696.00
Kepler-1667 b,0.266,0.02890,83.57810000,5941.54
Kepler-1311 d,0.862,0.21200,197.51100160,5616.00
Kepler-593 b,0.256,0.02710,21.21708973,5967.00
Kepler-831 b,0.113,0.00678,5.62153941,5732.00
Kepler-581 b,0.235,0.02330,40.60698210,5772.00
Kepler-585 b,0.252,0.02640,2.75235975,5593.00
Kepler-59 c,0.177,0.01440,17.98012350,6074.00
Kepler-591 b,0.302,0.03590,81.16942990,5677.00
TOI-530 b,0.830,0.40000,6.38759700,3659.00
Kepler-812 b,0.317,0.03880,10.11716531,6761.00
Kepler-651 b,0.211,0.01950,21.38521506,5522.00
Kepler-790 b,0.194,0.01700,13.73469807,5208.00
Kepler-615 b,0.155,0.01160,10.35584657,4655.00
Kepler-793 b,0.122,0.00771,4.24153639,5745.00
Kepler-794 b,0.188,0.01600,11.13125132,5839.00
Kepler-802 b,0.316,0.03860,40.05874730,5507.00
Kepler-825 b,0.136,0.00930,3.77360059,5976.00
Kepler-284 c,0.233,0.02300,37.51445600,5615.00
Kepler-679 b,0.269,0.02930,12.39358604,5403.00
Kepler-777 b,0.131,0.00869,5.72812599,4043.00
Kepler-611 b,0.147,0.01060,2.43703330,5761.00
Kepler-637 b,0.424,0.06360,23.20584623,6096.00
Kepler-639 b,0.212,0.01970,10.21420496,5896.00
Kepler-760 b,0.273,0.03020,8.70419416,5322.00
Kepler-814 b,0.189,0.01620,6.14698510,6162.00
Kepler-605 c,0.077,0.00178,2.35895152,5462.00
Kepler-805 b,0.258,0.02740,30.86389310,6112.00
CoRoT-6 b,1.166,2.96000,8.88659300,6090.00
Kepler-712 b,0.304,0.03630,21.02247699,5148.00
Kepler-722 b,0.235,0.02330,4.09357325,5863.00
Kepler-680 b,0.216,0.02030,3.68992629,5890.00
Kepler-85 e,0.113,0.00189,25.21675100,5436.00
Kepler-1811 b,0.343,0.04450,76.42230225,5561.00
Kepler-618 b,0.232,0.02290,3.59576964,5860.00
Kepler-769 c,0.160,0.01210,15.98701740,6186.00
Kepler-277 c,0.300,0.20200,33.00600000,5946.00
Kepler-712 c,0.433,0.06590,226.89047000,5148.00
Kepler-887 b,0.164,0.01270,20.42228798,6194.00
Kepler-701 b,0.253,0.02660,10.35533177,5343.00
Kepler-740 b,0.408,0.05960,3.58410122,5438.00
Kepler-696 b,0.548,0.09840,4.19042557,5903.00
BD+14 4559 b,1.230,1.04000,268.94000000,4864.00
Kepler-653 c,0.070,0.00126,0.90037648,5665.00
TOI-1221 b,0.260,3.50000,91.68278000,5592.00
Kepler-1869 b,0.100,0.00458,8.16736031,5808.00
Kepler-66 b,0.250,0.02590,17.81581500,5962.00
Kepler-682 b,0.658,0.13400,12.61190667,5559.00
Kepler-815 b,0.367,0.04980,8.57503552,5028.00
Kepler-82 c,0.476,0.04373,51.54000000,5529.00
Kepler-834 b,0.180,0.01490,13.32388301,4554.00
Kepler-907 b,0.107,0.00588,15.86621821,6106.00
Kepler-850 b,0.159,0.01200,7.19303878,5932.00
Kepler-930 b,0.190,0.01630,71.45177750,6335.00
Kepler-978 b,0.267,0.02900,49.62215090,6002.00
Kepler-979 b,0.243,0.02470,8.08801350,5310.00
KIC 8540376 c,0.214,0.02000,75.20000000,6474.00
Kepler-1686 b,0.127,0.00825,9.30987000,5714.96
Kepler-963 b,0.237,0.02380,9.97683705,5461.00
Kepler-752 b,0.251,0.02610,18.82747265,5373.00
Kepler-755 b,0.157,0.01180,1.26909037,5043.00
Kepler-774 b,0.283,0.03200,11.08957230,6403.00
Kepler-808 b,0.130,0.00859,0.63133235,4653.00
Kepler-748 b,0.225,0.02170,7.40742793,5934.00
Kepler-772 b,0.162,0.01250,12.99207337,5714.00
Kepler-776 b,0.114,0.00687,4.89718784,5071.00
Kepler-795 b,0.150,0.01090,29.61934210,5631.00
Kepler-804 c,0.102,0.00489,9.65185017,5817.00
Kepler-967 c,0.326,0.04070,198.71125020,5178.00
Kepler-968 c,0.151,0.01100,5.70940492,4598.00
Kepler-734 b,0.318,0.03900,6.10485286,5326.00
Kepler-750 b,0.274,0.03030,9.42887179,6160.00
Kepler-750 c,0.145,0.01020,4.08899022,6160.00
Kepler-757 b,0.121,0.00761,1.02267882,6014.00
Kepler-761 b,0.181,0.01500,10.12804789,5706.00
Kepler-1801 c,0.362,0.02770,116.58318300,5738.00
NGC 2682 YBP 1194 b,1.100,0.32000,6.95900000,5780.00
Kepler-869 b,0.322,0.03990,40.42877550,5664.00
Kepler-81 b,0.216,0.05400,5.95500000,4385.00
Kepler-877 b,0.189,0.01620,18.45847097,5261.00
Kepler-932 b,0.122,0.00771,1.92143740,5331.00
CoRoT-25 b,1.080,0.27000,4.86069000,6040.00
Kepler-779 b,0.082,0.00227,7.09714223,3804.00
Kepler-878 b,0.172,0.01380,25.94220330,5044.00
Kepler-92 d,0.184,0.01550,49.35680000,5904.34
Kepler-824 b,0.167,0.01310,4.51436633,6035.00
Kepler-879 b,0.229,0.02240,33.38559380,5792.00
Kepler-818 b,0.456,0.07200,10.03538581,5638.00
Kepler-914 b,0.123,0.00780,4.40966548,5877.00
Kepler-857 b,0.607,0.11700,85.35129427,5773.00
Kepler-851 b,0.150,0.01090,8.50699658,5455.00
Kepler-807 b,0.930,0.24200,117.93108781,5965.00
Kepler-826 b,0.112,0.00660,4.48758907,6079.00
Kepler-927 b,0.153,0.01130,9.11499030,5743.00
